|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
|    24   |  441.58 |  527.78 |  489.91 |  520.82 |  561.54 |  524.23 |  400.35 |  555.24 |  577.84 |  510.55 |  565.21 |  436.62 |
|    25   |  443.57 |  546.48 |  555.42 |  564.08 |  601.02 |  586.99 |  462.66 |  585.30 |  594.79 |  552.68 |  568.22 |  460.05 |
|    26   |  557.16 |  583.61 |  560.89 |  587.22 |  677.15 |  594.28 |  464.36 |  610.33 |  607.92 |  566.87 |  577.09 |  497.79 |
|    27   |  570.82 |  606.44 |  576.56 |  607.32 |  680.14 |  609.23 |  506.62 |  666.00 |  618.83 |  630.69 |  583.09 |  532.57 |
|    28   |  576.10 |  609.89 |  587.94 |  625.00 |  695.05 |  626.62 |  551.62 |  692.76 |  631.19 |  653.98 |  614.39 |  556.19 |
|    29   |  578.84 |  610.91 |  619.47 |  640.62 |  720.02 |  634.55 |  563.31 |  703.21 |  645.30 |  663.02 |  621.44 |  569.43 |
|    30   |  592.53 |  622.47 |  628.07 |  686.27 |  728.71 |  647.11 |  580.59 |  709.04 |  684.15 |  663.25 |  657.95 |  610.54 |
|    31   |  612.38 |  627.76 |  688.24 |  712.89 |  728.78 |  709.84 |  605.42 |  771.04 |  716.20 |  702.42 |  666.15 |  617.71 |
|    32   |  637.44 |  631.37 |  707.84 |  720.52 |  736.53 |  725.34 |  618.84 |  773.29 |  728.31 |  722.14 |  666.97 |  629.11 |
|    33   |  673.81 |  642.53 |  712.87 |  729.90 |  739.08 |  734.56 |  661.07 |  788.19 |  728.52 |  728.45 |  695.55 |  675.65 |
|    34   |  674.21 |  653.20 |  738.74 |  747.80 |  750.26 |  739.32 |  681.16 |  806.47 |  758.19 |  736.26 |  700.19 |  678.49 |
|    35   |  698.63 |  694.06 |  743.11 |  749.80 |  757.05 |  889.32 |  710.70 |  895.49 |  767.94 |  748.98 |  756.38 |  703.16 |
|    36   |  731.89 |  755.77 |  746.32 |  784.44 |  792.15 |  894.50 |  754.27 |  903.71 |  773.95 |  783.10 |  778.02 |  735.69 |
|    37   |  805.81 |  812.21 |  794.19 |  816.58 |  849.95 |  925.56 |  790.75 |  909.89 |  782.27 |  786.19 |  793.13 |  784.02 |
|    38   |  808.20 |  829.18 |  815.23 |  820.37 |  877.41 |  931.98 |  813.63 |  929.27 |  799.15 |  813.61 |  819.86 |  821.47 |
|    39   |  819.59 |  854.59 |  818.13 |  848.56 |  880.62 |  938.48 |  855.07 |  939.23 |  804.18 |  844.58 |  831.85 |  883.03 |
|    40   |  827.35 |  864.00 |  906.53 |  857.40 |  889.48 |  944.40 |  864.22 |  958.18 |  804.27 |  847.33 |  887.39 |  883.59 |
|    41   |  888.76 |  873.33 |  918.44 |  890.16 |  905.20 |  966.95 |  880.72 |  962.30 |  838.45 |  864.48 |  910.22 |  914.25 |
|    42   |  893.60 |  882.58 |  927.41 |  890.68 |  933.86 |  974.46 |  918.24 |  963.28 |  848.98 |  894.63 |  925.67 |  922.13 |
|    43   |  901.12 |  897.67 |  933.21 |  910.62 |  938.56 |  978.57 |  951.53 |  978.42 |  903.93 |  926.45 |  935.84 |  924.50 |
|    44   |  992.77 |  906.64 |  935.47 |  965.24 |  957.15 |  989.61 |  961.97 |  985.94 |  925.86 |  964.65 |  960.40 |  935.94 |
|    45   |  994.93 |  948.30 |  948.67 |  988.69 |  997.85 |  993.39 |  969.51 |  992.74 |  965.80 |  972.24 |  980.84 |  981.27 |
|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
|   MED   |  433.20 |  497.78 |  489.64 |  511.30 |  537.62 |  451.58 |  397.82 |  524.05 |  501.62 |  429.72 |  552.31 |  374.71 |
|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
